预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20121107,20121231,000630,887460000.0,宏源证券,闵丹
20121108,20121231,000630,940000000.0,东北证券,陈炳辉
20121212,20121231,000630,900000000.0,中信建投,张芳
20121101,20121231,000651,6819000000.0,民生证券,刘静
20121112,20121231,000651,6819000000.0,民生证券,刘静
20121126,20121231,000651,7441120000.0,方正证券,张保平
20121204,20121231,000651,6970000000.0,国海证券,刘金沪
20121207,20121231,000651,7102000000.0,国金证券,王晓莹
20121207,20121231,000651,7069000000.0,国信证券,王念春
20121210,20121231,000651,7068000000.0,银河证券,袁浩然
20121210,20121231,000651,7194000000.0,华泰证券,张洪道
20121212,20121231,000651,6983000000.0,中信证券,胡雅丽
20121224,20121231,000651,6505000000.0,长城证券,朱政
20121225,20121231,000651,6824230000.0,东兴证券,李常
20121202,20121231,000656,1490540000.0,浙商证券,戴方
20121203,20121231,000656,1407000000.0,渤海证券,易华强
20121213,20121231,000656,1329000000.0,中银国际,田世欣
20121130,20121231,000665,117000000.0,第一创业,任文杰
20121105,20121231,000666,729310000.0,中信建投,魏涛
20121122,20121231,000666,729310000.0,中信建投,魏涛
20121224,20121231,000671,489000000.0,长城证券,苏绪盛
20121106,20121231,000679,241720000.0,中信建投,苏雪晶
20121121,20121231,000679,260000000.0,广发证券,万知
20121204,20121231,000683,161300000.0,北京高华证券,韩永
20121211,20121231,000705,50000000.0,招商证券,李珊珊
20121116,20121231,000708,205200000.0,长江证券,刘元瑞
20121205,20121231,000709,420000000.0,瑞银证券,孙旭
20121102,20121231,000718,1088000000.0,国泰君安,李品科
20121218,20121231,000721,20354000.0,第一创业,冯佳
20121121,20121231,000725,-367000000.0,财富里昂,杨艳
20121212,20121231,000725,-411650000.0,海通证券,邱春城
20121218,20121231,000725,-411650000.0,海通证券,邱春城
20121224,20121231,000725,-411650000.0,海通证券,邱春城
20121227,20121231,000725,77570000.0,光大证券,蒯剑
20121227,20121231,000725,67000000.0,申银万国,余斌
20121227,20121231,000725,82900000.0,海通证券,邱春城
20121208,20121231,000732,428540000.0,宏源证券,祖广平
20121212,20121231,000738,151000000.0,中信证券,薛小波
20121214,20121231,000739,105080000.0,浙商证券,程艳华
20121108,20121231,000759,181350000.0,光大证券,唐佳睿
20121206,20121231,000759,216000000.0,群益证券,张露
20121206,20121231,000759,187980000.0,光大证券,唐佳睿
20121206,20121231,000759,199000000.0,中金公司,钱炳
20121209,20121231,000759,173800000.0,安信证券,张静
20121219,20121231,000759,195660000.0,光大证券,唐佳睿
20121219,20121231,000759,198500000.0,长江证券,童兰
20121224,20121231,000759,173800000.0,安信证券,张静
20121210,20121231,000761,175000000.0,招商证券,张士宝
20121129,20121231,000767,115690000.0,大同证券,蔡文彬
20121106,20121231,000776,2213000000.0,国都证券,邓婷
20121226,20121231,000776,2293670000.0,国都证券,邓婷
20121205,20121231,000778,1034000000.0,招商证券,张士宝
20121205,20121231,000778,994500000.0,长江证券,刘元瑞
20121212,20121231,000778,1134000000.0,中信证券,蒋玉姣
20121221,20121231,000778,936000000.0,国泰君安,李宏亮
20121223,20121231,000778,1075000000.0,中投证券,初学良
20121101,20121231,000780,524000000.0,广发证券,沈涛
20121226,20121231,000780,530000000.0,中银国际,唐倩
20121206,20121231,000785,57270000.0,光大证券,唐佳睿
20121102,20121231,000786,673000000.0,东方证券,鲍雁辛
20121123,20121231,000786,702000000.0,招商证券,王晶晶
20121129,20121231,000786,691000000.0,中投证券,李凡
20121203,20121231,000786,702000000.0,招商证券,王晶晶
20121101,20121231,000789,209000000.0,瑞银证券,密叶舟
20121105,20121231,000789,167000000.0,东方证券,鲍雁辛
20121127,20121231,000792,2202000000.0,群益证券,徐莹
20121112,20121231,000799,650780000.0,光大证券,李婕
20121123,20121231,000799,587000000.0,瑞银证券,王鹏
20121127,20121231,000799,503580000.0,申银万国,周雅洁
20121205,20121231,000799,583240000.0,光大证券,李婕
20121205,20121231,000799,553000000.0,中信证券,黄巍
20121206,20121231,000799,570000000.0,中投证券,柯海东
20121212,20121231,000799,587000000.0,瑞银证券,王鹏
20121207,20121231,000825,525130000.0,山西证券,刘俊清
20121113,20121231,000826,426200000.0,长江证券,邓莹
20121115,20121231,000826,427000000.0,招商证券,彭全刚
20121115,20121231,000826,426200000.0,长江证券,邓莹
20121116,20121231,000826,409930000.0,日信证券,代丽萍
20121127,20121231,000826,426200000.0,长江证券,邓莹
20121128,20121231,000826,427790000.0,华宝证券,王广举
20121208,20121231,000826,426000000.0,华创证券,谢天卉
20121218,20121231,000826,407000000.0,中信证券,王海旭
20121218,20121231,000826,409930000.0,日信证券,代丽萍
20121219,20121231,000826,408000000.0,华泰证券,程鹏
20121221,20121231,000826,433760000.0,光大证券,陈俊鹏
20121224,20121231,000826,432000000.0,银河证券,冯大军
20121101,20121231,000858,10084000000.0,太平洋证券,王学谦
20121129,20121231,000858,9189000000.0,财富里昂,宋丽华
20121205,20121231,000858,9441200000.0,光大证券,李婕
20121224,20121231,000858,9538370000.0,申银万国,童驯
20121226,20121231,000858,9290000000.0,第一创业,李镜池
20121227,20121231,000858,9127000000.0,招商证券,董广阳
20121225,20121231,000860,127790000.0,中信建投,黄付生
20121228,20121231,000860,125000000.0,海通证券,丁频
20121105,20121231,000861,498940000.0,信达证券,赵雅君
20121226,20121231,000861,471000000.0,中投证券,樊俊豪
20121227,20121231,000861,471490000.0,信达证券,赵雅君
20121115,20121231,000868,117970000.0,东兴证券,苏杨
20121102,20121231,000869,1875010000.0,申银万国,童驯
20121221,20121231,000869,1704000000.0,平安证券,文献
20121212,20121231,000876,1906000000.0,中信证券,施亮
20121217,20121231,000876,2006000000.0,招商证券,黄珺
20121224,20121231,000876,1846000000.0,银河证券,吴立
20121203,20121231,000877,372000000.0,中投证券,李凡
