wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
002235.SZ,安妮股份,2015-02-14 00:00:00,2015-03-03 00:00:00,1000.0,180.72,0.93,员工薪酬及自筹资金,"竞价转让,定向受让",106.0,82.0,18.0
002318.SZ,久立特材,2015-02-04 00:00:00,2015-03-03 00:00:00,13000.0,630.0,1.87,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",86.0,68.32,31.68
300308.SZ,中际旭创,2015-01-26 00:00:00,2015-03-04 00:00:00,6000.0,560.0,2.59,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",200.0,93.33,6.67
002380.SZ,科远智慧,2015-02-14 00:00:00,2015-03-11 00:00:00,1750.0,60.39,,员工薪酬及自筹资金,竞价转让,,70.0,30.0
603699.SH,纽威股份,2015-02-13 00:00:00,2015-03-13 00:00:00,9499.4,492.96,0.66,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",80.0,46.38,53.62
600594.SH,益佰制药,2015-02-17 00:00:00,2015-03-17 00:00:00,13395.0,712.0,1.8,员工薪酬及自筹资金,竞价转让,53.0,64.24,35.76
600332.SH,白云山,2015-01-13 00:00:00,2015-03-18 00:00:00,50514.58,2118.9,,员工薪酬及自筹资金,认购非公开发行,1209.0,91.32,8.68
002542.SZ,中化岩土,2015-03-03 00:00:00,2015-03-19 00:00:00,62728.0,10796.5576,,员工薪酬及自筹资金,认购非公开发行,334.0,94.46,5.54
000413.SZ,东旭光电,2015-01-28 00:00:00,2015-03-19 00:00:00,50000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,3900.0,92.77,7.23
002375.SZ,亚厦股份,2015-02-14 00:00:00,2015-03-19 00:00:00,3000.0,400.0,0.45,员工薪酬及自筹资金,竞价转让,110.0,71.33,28.67
002501.SZ,*ST利源,2015-03-10 00:00:00,2015-03-21 00:00:00,7132.3092,1322.1683,3.63,员工薪酬及自筹资金,认购非公开发行,123.0,,
002403.SZ,爱仕达,2015-03-06 00:00:00,2015-03-24 00:00:00,9414.1544,1158.2375,3.28,员工薪酬及自筹资金,认购非公开发行,303.0,60.87,39.13
000566.SZ,海南海药,2015-03-07 00:00:00,2015-03-24 00:00:00,7000.0,846.0,5.0,员工薪酬及自筹资金,竞价转让,200.0,59.1,40.9
600559.SH,老白干酒,2014-12-02 00:00:00,2015-04-02 00:00:00,12760.0,544.6009,,员工薪酬及自筹资金,认购非公开发行,830.0,81.23,18.77
000955.SZ,欣龙控股,2015-03-13 00:00:00,2015-04-08 00:00:00,9000.0,5340.0,9.92,员工薪酬及自筹资金,"竞价转让,定向受让,股东赠与",300.0,,
830866.OC,凌志软件,2015-04-02 00:00:00,2015-04-10 00:00:00,4000.0,,,"员工薪酬及自筹资金,股东或实际控制人借款",认购非公开发行,400.0,85.0,5.0
000501.SZ,鄂武商A,2015-01-16 00:00:00,2015-04-10 00:00:00,84370.9,6217.4577,9.43,员工薪酬及自筹资金,认购非公开发行,1141.0,70.0,30.0
600478.SH,科力远,2015-03-28 00:00:00,2015-04-15 00:00:00,6000.0,802.8546,1.7,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",1000.0,76.83,23.17
002236.SZ,大华股份,2015-04-04 00:00:00,2015-04-16 00:00:00,14000.0,,,股东或实际控制人借款,定向受让,965.0,93.91,6.09
300220.SZ,金运激光,2015-04-04 00:00:00,2015-04-21 00:00:00,2000.0,94.1,0.75,员工薪酬及自筹资金,竞价转让,100.0,70.0,30.0
002445.SZ,ST中南,2015-04-01 00:00:00,2015-04-21 00:00:00,3500.0,400.98,1.09,员工薪酬及自筹资金,竞价转让,53.0,68.29,31.71
300232.SZ,洲明科技,2015-03-03 00:00:00,2015-04-22 00:00:00,4000.0,1042.27,5.13,员工薪酬及自筹资金,"竞价转让,定向受让",110.0,,
300054.SZ,鼎龙股份,2015-04-03 00:00:00,2015-04-24 00:00:00,9000.0,792.95,1.8,员工薪酬及自筹资金,竞价转让,230.0,49.56,48.23
600654.SH,*ST中安,2015-04-03 00:00:00,2015-04-24 00:00:00,5000.0,2887.0,2.25,员工薪酬及自筹资金,竞价转让,15.0,36.0,64.0
002410.SZ,广联达,2015-03-26 00:00:00,2015-04-25 00:00:00,9437.0,250.0,0.33,员工薪酬及自筹资金,竞价转让,394.0,87.13,12.87
300218.SZ,安利股份,2015-03-27 00:00:00,2015-04-25 00:00:00,5850.0,469.87,2.17,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",340.0,64.0,36.0
000678.SZ,襄阳轴承,2014-12-31 00:00:00,2015-04-28 00:00:00,9375.0,1500.0,,员工薪酬及自筹资金,认购非公开发行,200.0,66.67,33.33
002310.SZ,东方园林,2015-04-09 00:00:00,2015-04-29 00:00:00,10000.0,1138.088,1.13,员工薪酬及自筹资金,竞价转让,30.0,54.7,45.3
300073.SZ,当升科技,2015-04-10 00:00:00,2015-05-01 00:00:00,3008.5988,192.8589,,员工薪酬及自筹资金,认购非公开发行,80.0,70.0,30.0
002589.SZ,瑞康医药,2015-04-18 00:00:00,2015-05-05 00:00:00,6667.0,266.31,0.96,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",2800.0,89.4,10.6
601388.SH,怡球资源,2015-04-15 00:00:00,2015-05-05 00:00:00,5000.0,522.0,1.0,员工薪酬及自筹资金,竞价转让,152.0,80.0,20.0
300168.SZ,万达信息,2015-04-16 00:00:00,2015-05-05 00:00:00,100000.0,1090.51,2.18,员工薪酬及自筹资金,竞价转让,2010.0,72.5,27.5
002261.SZ,拓维信息,2015-04-18 00:00:00,2015-05-06 00:00:00,17466.0,1065.0,1.91,员工薪酬及自筹资金,认购非公开发行,308.0,96.06,3.94
430488.OC,东创科技,2015-04-14 00:00:00,2015-05-06 00:00:00,199.5,26.6,1.7,员工薪酬及自筹资金,认购非公开发行,9.0,37.58,62.42
000961.SZ,中南建设,2015-04-16 00:00:00,2015-05-06 00:00:00,25000.0,4150.52,3.55,员工薪酬及自筹资金,竞价转让,138.0,100.0,
002194.SZ,*ST凡谷,2015-02-07 00:00:00,2015-05-07 00:00:00,5600.0,849.62,1.53,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,750.0,33.9,5.09
002481.SZ,双塔食品,2015-04-20 00:00:00,2015-05-07 00:00:00,,2100.0,4.16,员工薪酬及自筹资金,"竞价转让,定向受让,股东赠与",325.0,42.6,57.4
002301.SZ,齐心集团,2015-04-21 00:00:00,2015-05-08 00:00:00,5000.0,411.5226,0.97,员工薪酬及自筹资金,认购非公开发行,126.0,77.4,2.6
600725.SH,ST云维,2015-04-21 00:00:00,2015-05-08 00:00:00,4506.648,988.3,,员工薪酬及自筹资金,认购非公开发行,486.0,93.61,6.39
600704.SH,物产中大,2015-04-16 00:00:00,2015-05-08 00:00:00,134900.0,15487.9448,7.01,员工薪酬及自筹资金,认购非公开发行,1074.0,90.2,9.8
831209.OC,鑫安利,2015-04-17 00:00:00,2015-05-08 00:00:00,30.0,100.0,5.0,向第三方融资,上市公司回购,47.0,,
002308.SZ,威创股份,2015-04-23 00:00:00,2015-05-09 00:00:00,18600.0,1550.0,1.85,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,100.0,91.13,8.87
603766.SH,隆鑫通用,2015-04-25 00:00:00,2015-05-12 00:00:00,12500.0,550.0,0.68,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",73.0,59.37,40.63
002456.SZ,欧菲光,2015-05-14 00:00:00,2015-05-14 00:00:00,7500.0,875.0,0.85,股东或实际控制人借款,"竞价转让,定向受让",41.0,73.51,26.49
300307.SZ,慈星股份,2015-04-16 00:00:00,2015-05-16 00:00:00,13640.0,1400.0,2.0,"员工薪酬及自筹资金,股东或实际控制人借款","竞价转让,定向受让",185.0,89.0,11.0
600388.SH,龙净环保,2015-04-18 00:00:00,2015-05-16 00:00:00,3777.9822,,,持股计划奖励金,竞价转让,352.0,78.44,21.56
300088.SZ,长信科技,2015-04-30 00:00:00,2015-05-16 00:00:00,14000.0,1768.42,3.065,员工薪酬及自筹资金,竞价转让,250.0,44.06,55.94
300094.SZ,国联水产,2015-04-30 00:00:00,2015-05-16 00:00:00,750.0,502.79,1.42,员工薪酬及自筹资金,竞价转让,111.0,,
002477.SZ,*ST雏鹰,2015-05-09 00:00:00,2015-05-19 00:00:00,13000.0,,,员工薪酬及自筹资金,竞价转让,750.0,81.46,18.54
002321.SZ,华英农业,2015-03-31 00:00:00,2015-05-20 00:00:00,14773.0,1870.0,,员工薪酬及自筹资金,认购非公开发行,,67.89,32.11
002345.SZ,潮宏基,2015-05-05 00:00:00,2015-05-21 00:00:00,15000.0,1221.498,1.26,员工薪酬及自筹资金,认购非公开发行,285.0,74.67,25.33
