实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-04-14,20101231,000020,合并报表(单季度调整),-595085.08
2012-04-14,20101231,000020,母公司报表(调整),3920833.44
2012-04-14,20101231,000020,合并报表(调整),9177262.81
2011-04-19,20101231,000020,合并报表(单季度),-7497411.53
2011-04-19,20101231,000020,母公司报表(单季度),-3022222.65
2011-04-19,20101231,000020,母公司报表,3920833.44
2011-04-19,20101231,000020,合并报表,9177262.81
2011-03-31,20101231,000021,合并报表,384257878.66
2011-03-31,20101231,000021,合并报表(单季度),121111143.51
2011-03-31,20101231,000021,母公司报表,119180249.96
2011-03-31,20101231,000021,母公司报表(单季度),16691279.27
2012-03-30,20101231,000021,母公司报表(单季度调整),16691279.27
2012-03-30,20101231,000021,合并报表(调整),384257878.66
2012-03-30,20101231,000021,母公司报表(调整),119180249.96
2012-03-30,20101231,000021,合并报表(单季度调整),121111143.51
2011-04-06,20101231,000023,合并报表,13148293.07
2011-04-06,20101231,000023,母公司报表(单季度),-7646675.07
2011-04-06,20101231,000023,母公司报表,-20568430.66
2011-04-06,20101231,000023,合并报表(单季度),3097979.65
2012-04-24,20101231,000023,母公司报表(单季度调整),-7646675.07
2012-04-24,20101231,000023,母公司报表(调整),-20568430.66
2012-04-24,20101231,000023,合并报表(单季度调整),3097979.65
2012-04-24,20101231,000023,合并报表(调整),13148293.07
2012-03-20,20101231,000024,母公司报表(单季度调整),1070363452.0
2012-03-20,20101231,000024,合并报表(单季度调整),584526424.0
2012-03-20,20101231,000024,母公司报表(调整),1136695740.0
2012-03-20,20101231,000024,合并报表(调整),2011397239.0
2011-03-22,20101231,000024,合并报表(单季度),584526424.0
2011-03-22,20101231,000024,母公司报表(单季度),1070363452.0
2011-03-22,20101231,000024,母公司报表,1136695740.0
2011-03-22,20101231,000024,合并报表,2011397239.0
2011-04-15,20101231,000025,母公司报表,2036286.84
2011-04-15,20101231,000025,合并报表,3584445.78
2011-04-15,20101231,000025,合并报表(单季度),2677352.9
2011-04-15,20101231,000025,母公司报表(单季度),5197360.68
2012-04-14,20101231,000025,合并报表(调整),3584445.78
2012-04-14,20101231,000025,合并报表(单季度调整),2677352.9
2012-04-14,20101231,000025,母公司报表(调整),2036286.84
2012-04-14,20101231,000025,母公司报表(单季度调整),5197360.68
2012-02-28,20101231,000026,母公司报表(调整),51209032.78
2012-02-28,20101231,000026,合并报表(调整),93990182.93
2012-02-28,20101231,000026,母公司报表(单季度调整),32087778.72
2012-02-28,20101231,000026,合并报表(单季度调整),25468181.07
2011-03-01,20101231,000026,母公司报表(单季度),32087778.72
2011-03-01,20101231,000026,母公司报表,51209032.78
2011-03-01,20101231,000026,合并报表,93990182.93
2011-03-01,20101231,000026,合并报表(单季度),25468181.07
2012-04-16,20101231,000027,合并报表(调整),1403740369.18
2012-04-16,20101231,000027,合并报表(单季度调整),44700443.11
2012-04-16,20101231,000027,母公司报表(单季度调整),37736724.85
2012-04-16,20101231,000027,母公司报表(调整),1265862135.47
2011-04-15,20101231,000027,母公司报表,1265862135.47
2011-04-15,20101231,000027,母公司报表(单季度),37736724.85
2011-04-15,20101231,000027,合并报表(单季度),62672272.25
2011-04-15,20101231,000027,合并报表,1403740369.18
2011-03-22,20101231,000028,母公司报表,224082114.41
2012-03-16,20101231,000028,母公司报表(单季度调整),12315101.82
2012-03-16,20101231,000028,合并报表(单季度调整),81100306.43
2012-03-16,20101231,000028,母公司报表(调整),224082114.41
2012-03-16,20101231,000028,合并报表(调整),261116656.7
2011-03-22,20101231,000028,合并报表(单季度),77312115.86
2011-03-22,20101231,000028,母公司报表(单季度),12315101.82
2011-03-22,20101231,000028,合并报表,261116656.7
2011-04-29,20101231,000029,母公司报表(单季度),-18859662.48
2011-04-29,20101231,000029,合并报表,84760162.75
2011-04-29,20101231,000029,合并报表(单季度),7623524.3
2011-04-29,20101231,000029,母公司报表,-1836875.99
2012-03-31,20101231,000029,母公司报表(调整),-1836875.99
2012-03-31,20101231,000029,合并报表(单季度调整),7704089.19
2012-03-31,20101231,000029,合并报表(调整),84760162.75
2012-03-31,20101231,000029,母公司报表(单季度调整),-18859662.48
2011-04-27,20101231,000030,合并报表,-388775880.0
2011-04-27,20101231,000030,母公司报表(单季度),-373076360.86
2011-04-27,20101231,000030,合并报表(单季度),-370193760.86
2012-03-16,20101231,000030,合并报表(调整),-388775880.0
2011-04-27,20101231,000030,母公司报表,-391658480.0
2012-03-16,20101231,000030,合并报表(单季度调整),-370193760.86
2012-03-16,20101231,000030,母公司报表(单季度调整),-370193760.86
2011-04-27,20101231,000030,合并报表(更正前),-391658480.0
2011-04-27,20101231,000030,母公司报表(更正前),1065244069.53
2012-03-16,20101231,000030,母公司报表(调整),-388775880.0
2011-04-22,20101231,000031,母公司报表(单季度),191783108.95
2011-04-22,20101231,000031,合并报表(单季度),326413044.75
2011-04-22,20101231,000031,合并报表,463975287.56
2011-04-22,20101231,000031,母公司报表,407706241.58
2012-03-30,20101231,000031,合并报表(单季度调整),440196235.79
2012-03-30,20101231,000031,合并报表(调整),576681927.8
2012-03-30,20101231,000031,母公司报表(调整),407706241.58
2012-03-30,20101231,000031,母公司报表(单季度调整),191783108.95
2012-04-21,20101231,000032,合并报表(单季度调整),-5582986.29
2011-04-23,20101231,000032,母公司报表(单季度),-4072084.81
2011-04-23,20101231,000032,合并报表(单季度),2431861.76
2012-04-21,20101231,000032,母公司报表(单季度调整),-4072084.81
2012-04-21,20101231,000032,母公司报表(调整),44764746.59
2011-04-23,20101231,000032,合并报表,28652205.06
2011-04-23,20101231,000032,母公司报表,44764746.59
2012-04-21,20101231,000032,合并报表(调整),21316610.94
2011-04-29,20101231,000033,合并报表,4169940.8
2011-04-29,20101231,000033,母公司报表(单季度),14496015.6
2011-04-29,20101231,000033,合并报表(单季度),15523429.77
2011-04-29,20101231,000033,母公司报表,2973109.79
2012-03-24,20101231,000033,合并报表(调整),4169940.8
2012-03-24,20101231,000033,合并报表(单季度调整),15523429.77
2012-03-24,20101231,000033,母公司报表(单季度调整),14496015.6
2012-03-24,20101231,000033,母公司报表(调整),2973109.79
2011-02-28,20101231,000034,合并报表(单季度),18822556.81
2012-02-29,20101231,000034,母公司报表(单季度调整),24332310.99
2012-02-29,20101231,000034,合并报表(单季度调整),18822556.81
2012-02-29,20101231,000034,母公司报表(调整),414646431.13
2012-02-29,20101231,000034,合并报表(调整),498142241.73
2011-02-28,20101231,000034,母公司报表,414646431.13
2011-02-28,20101231,000034,合并报表,498142241.73
2011-02-28,20101231,000034,母公司报表(单季度),24332310.99
2012-03-20,20101231,000035,合并报表(调整),46782097.67
2012-03-20,20101231,000035,母公司报表(单季度调整),65590975.73
2012-03-20,20101231,000035,母公司报表(调整),46782938.23
2012-03-20,20101231,000035,合并报表(单季度调整),65590135.17
2011-04-27,20101231,000035,母公司报表,46782938.23
2011-04-27,20101231,000035,母公司报表(单季度),65590975.73
2011-04-27,20101231,000035,合并报表(单季度),65590135.17
2011-04-27,20101231,000035,合并报表,46782097.67
2012-04-24,20101231,000036,母公司报表(调整),66456421.02
2012-04-24,20101231,000036,合并报表(调整),230774988.91
2012-04-24,20101231,000036,母公司报表(单季度调整),45951840.93
2012-04-24,20101231,000036,合并报表(单季度调整),184736621.36
2011-04-27,20101231,000036,合并报表(单季度),184736621.36
2011-04-27,20101231,000036,母公司报表(单季度),45951840.93
2011-04-27,20101231,000036,母公司报表,66456421.02
2011-04-27,20101231,000036,合并报表,230774988.91
2012-04-24,20101231,000037,合并报表(单季度调整),41674262.08
2012-04-24,20101231,000037,母公司报表(单季度调整),-25405063.07
2012-04-24,20101231,000037,合并报表(调整),-114638678.2
2012-04-24,20101231,000037,母公司报表(调整),-92683444.17
2011-04-15,20101231,000037,母公司报表(单季度),-25405063.07
2011-04-15,20101231,000037,合并报表(单季度),41674262.08
2011-04-15,20101231,000037,合并报表,-114638678.2
2011-04-15,20101231,000037,母公司报表,-92683444.17
